address_found,taxes_found,tax_year,tax_amount,market_value,land_value,building_value,address
1,1,2019,1668.0,55230.0,6390.0,48840.0,208 E Church St
1,1,2019,1975.0,65400.0,6390.0,59010.0,210 E Church St
1,1,2019,1469.0,48660.0,6390.0,42270.0,205 E Church St
1,1,2019,719.0,23820.0,6390.0,17430.0,207 E Church St
1,1,2019,1687.0,55890.0,6390.0,49500.0,209 E Church St
1,1,2019,1502.0,49740.0,4200.0,45540.0,207 N Third St
1,1,2019,2024.0,67020.0,8610.0,58410.0,202 E Park St
1,0,0,0.0,0.0,0.0,0.0,204 1/2 E Park St
1,1,2019,1947.0,64470.0,6390.0,58080.0,210 E Park St
1,0,0,0.0,0.0,0.0,0.0,212 E Park St
1,1,2019,3641.0,120570.0,6390.0,114180.0,212 E University Ave
1,1,2019,1147.0,38010.0,3990.0,34020.0,305 E Washington St
1,1,2019,1171.0,38790.0,6390.0,32400.0,311 E Washington St
0,0,0,0.0,0.0,0.0,0.0,302 E Hill St
0,0,0,0.0,0.0,0.0,0.0,304 E Hill St
0,0,0,0.0,0.0,0.0,0.0,306 E Hill St
0,0,0,0.0,0.0,0.0,0.0,310 E Hill St
0,0,0,0.0,0.0,0.0,0.0,301 E Hill St
0,0,0,0.0,0.0,0.0,0.0,305 E Hill St
0,0,0,0.0,0.0,0.0,0.0,307 E Hill St
0,0,0,0.0,0.0,0.0,0.0,309 E Hill St
1,1,2019,1355.0,44880.0,3990.0,40890.0,304 N Third St
1,1,2019,1675.0,55470.0,3990.0,51480.0,302 E Church St
1,1,2019,1295.0,42900.0,6390.0,36510.0,306 E Church St
1,1,2019,1808.0,59880.0,6390.0,53490.0,308 E Church St
1,0,0,0.0,0.0,0.0,0.0,301 N Fourth St
1,1,2019,1236.0,40950.0,6390.0,34560.0,303 E Church St
1,1,2019,1238.0,41010.0,6390.0,34620.0,305 E Church St
1,1,2019,2263.0,74940.0,6510.0,68430.0,307 E Church St
1,1,2019,1051.0,34830.0,6390.0,28440.0,309 E Church St
1,1,2019,858.0,28440.0,6390.0,22050.0,205 N Fourth St
1,0,0,0.0,0.0,0.0,0.0,302 E Park St
1,0,0,0.0,0.0,0.0,0.0,306 E Park St
1,1,2019,1712.0,56700.0,6390.0,50310.0,310 E Park St
1,1,2019,3573.0,118320.0,6810.0,111510.0,312 E Park St
1,1,2019,1744.0,57750.0,6390.0,51360.0,106 N Third St
1,1,2019,1205.0,39930.0,3990.0,35940.0,311 E Park St
1,1,2019,7660.0,253650.0,76500.0,177150.0,306 E University Ave
1,1,2019,1348.0,44640.0,3990.0,40650.0,401 E Washington St
1,1,2019,671.0,22230.0,4200.0,18030.0,403 E Washington St
1,1,2019,1224.0,40560.0,3990.0,36570.0,405 E Washington St
0,0,0,0.0,0.0,0.0,0.0,402 E Hill St
0,0,0,0.0,0.0,0.0,0.0,404 E Hill St
0,0,0,0.0,0.0,0.0,0.0,406 E Hill St
0,0,0,0.0,0.0,0.0,0.0,410 E Hill St
0,0,0,0.0,0.0,0.0,0.0,412 E Hill St
0,0,0,0.0,0.0,0.0,0.0,401 E Hill St
1,1,2019,1604.0,53130.0,3990.0,49140.0,306 N Fourth St
0,0,0,0.0,0.0,0.0,0.0,403 E Hill St
0,0,0,0.0,0.0,0.0,0.0,405 E Hill St
0,0,0,0.0,0.0,0.0,0.0,409 E Hill St
0,0,0,0.0,0.0,0.0,0.0,411 E Hill St
1,1,2019,2056.0,68100.0,6510.0,61590.0,402 E Church St
1,1,2019,2601.0,86130.0,6390.0,79740.0,404 E Church St
1,1,2019,2826.0,93600.0,6390.0,87210.0,406 E Church St
1,1,2019,1941.0,64290.0,6390.0,57900.0,408 E Church St
1,1,2019,2362.0,78240.0,6510.0,71730.0,412 E Church St
1,1,2019,906.0,30000.0,3990.0,26010.0,401 E Church St
1,1,2019,1108.0,36720.0,6390.0,30330.0,402 E Park St
1,1,2019,1834.0,60750.0,6810.0,53940.0,403 E Church St
1,1,2019,1668.0,55260.0,6390.0,48870.0,405 E Church St
1,1,2019,1826.0,60480.0,6810.0,53670.0,409 E Church St
1,1,2019,1599.0,52950.0,6390.0,46560.0,411 E Church St
1,1,2019,2338.0,77430.0,6390.0,71040.0,404 E Park St
1,1,2019,2134.0,70680.0,6390.0,64290.0,406 E Park St
1,1,2019,1820.0,60270.0,6390.0,53880.0,408 E Park St
1,1,2019,1804.0,59760.0,6390.0,53370.0,410 E Park St
1,1,2019,1240.0,41070.0,3990.0,37080.0,412 E Park St
1,0,0,0.0,0.0,0.0,0.0,106 N Fourth St
1,0,0,0.0,0.0,0.0,0.0,401 E Park St
1,1,2019,1807.0,59850.0,3990.0,55860.0,104 N Fourth St
1,1,2019,10545.0,349170.0,157740.0,191430.0,404 E University Ave
0,0,0,0.0,0.0,0.0,0.0,410 E University Ave
1,1,2019,1243.0,41160.0,6390.0,34770.0,505 E Washington St
1,1,2019,192.0,6390.0,6390.0,0.0,507 E Washington St
1,1,2019,1967.0,65160.0,6390.0,58770.0,509 E Washington St
1,1,2019,1352.0,44790.0,6390.0,38400.0,511 E Washington St
1,1,2019,4107.0,164610.0,20730.0,143880.0,304 N Fifth St
1,0,0,0.0,0.0,0.0,0.0,502 E Church St
1,0,0,0.0,0.0,0.0,0.0,504 E Church St
1,0,0,0.0,0.0,0.0,0.0,506 E Church St
1,0,0,0.0,0.0,0.0,0.0,508 E Church St
1,1,2019,1882.0,62340.0,4860.0,57480.0,510 E Church St
1,1,2019,9460.0,313260.0,44730.0,268530.0,512 E Church St
1,1,2019,1609.0,53280.0,6390.0,46890.0,503 E Park St
1,1,2019,410967.0,13607760.0,1642020.0,11965740.0,508 E University Ave
1,1,2019,1617.0,53550.0,6390.0,47160.0,601 E Washington St
1,1,2019,1402.0,46440.0,6390.0,40050.0,603 E Washington St
1,1,2019,1534.0,50820.0,6390.0,44430.0,611 E Washington St
1,0,0,0.0,0.0,0.0,0.0,301 N Wright St
1,0,0,0.0,0.0,0.0,0.0,207 N Wright St
1,0,0,0.0,0.0,0.0,0.0,610 E Park St
1,0,0,0.0,0.0,0.0,0.0,612 E Park St
1,1,2019,409677.0,13565040.0,1379850.0,12185190.0,608 E University Ave
1,1,2019,4216.0,139620.0,42060.0,97560.0,101 E University Ave
0,0,0,0.0,0.0,0.0,0.0,113 E University Ave
1,1,2019,1666.0,55170.0,21060.0,34110.0,117 E University Ave
1,1,2019,5275.0,215040.0,29400.0,185640.0,202 S First St
1,1,2019,2670.0,88410.0,21630.0,66780.0,212 S First St
0,0,0,0.0,0.0,0.0,0.0,216 S First St
