address_found,taxes_found,tax_year,tax_amount,market_value,land_value,building_value,address
0,0,0,0.0,0.0,0.0,0.0,608 N Fifth St
1,1,2019,9027.0,298920.0,38220.0,260700.0,112 1/2 E University Ave
0,0,0,0.0,0.0,0.0,0.0,6 1/2 E Columbia Ave
1,1,2019,5360.0,177510.0,58170.0,119340.0,1507 1/2 Grandview Dr
1,1,2019,607.0,20100.0,6810.0,13290.0,407 1/2 Louisiana Ave
0,0,0,0.0,0.0,0.0,0.0,501 N Prospect Ave
1,1,2019,1977.0,65490.0,6390.0,59100.0,1208 1/2 N Walnut St
0,0,0,0.0,0.0,0.0,0.0,609 S Prairie St
1,1,2019,2816.0,93270.0,30930.0,62340.0,806 1/2 S Prairie St
0,0,0,0.0,0.0,0.0,0.0,1103 S Randolph St
1,1,2019,3780.0,125190.0,31860.0,93330.0,1317 1/2 S State St
0,0,0,0.0,0.0,0.0,0.0,802 S State St
1,1,2019,8791.0,291090.0,47700.0,243390.0,612 1/2 W Green St
0,0,0,0.0,0.0,0.0,0.0,405 W Healey St
0,0,0,0.0,0.0,0.0,0.0,411 W Healey St
1,1,2019,6652.0,220260.0,25230.0,195030.0,212 1/2 W John St
1,0,0,0.0,0.0,0.0,0.0,307 W Green St
1,1,2019,4938.0,163530.0,45360.0,118170.0,1007 1/2 W Park Ave
1,1,2019,2895.0,95880.0,17580.0,78300.0,1510 1/2 W Springfield Ave
1,1,2019,4425.0,146520.0,22410.0,124110.0,917 1/2 W Washington St
0,0,0,0.0,0.0,0.0,0.0,1001 1/2 W Hill St
0,0,0,0.0,0.0,0.0,0.0,301 N McKinley Ave
1,1,2019,6887.0,228060.0,49170.0,178890.0,908A W Church St
0,0,0,0.0,0.0,0.0,0.0,5 Carriage Way
1,1,2019,4925.0,163080.0,42450.0,120630.0,1905 1/2 Bellamy Dr
0,0,0,0.0,0.0,0.0,0.0,1902 Galen Dr
1,1,2019,6296.0,208470.0,58980.0,149490.0,1201 1/2 Broadmoor Dr
0,0,0,0.0,0.0,0.0,0.0,506 W Park Ave
1,1,2019,4818.0,159540.0,108780.0,50760.0,202 1/2 W Springfield Ave
1,1,2019,1974.0,65370.0,5700.0,59670.0,511 1/2 W Vine St
1,1,2019,4223.0,139860.0,37230.0,102630.0,714 1/2 W White St
0,0,0,0.0,0.0,0.0,0.0,60 1/2 Chalmers St
0,0,0,0.0,0.0,0.0,0.0,214 Charles St
1,1,2019,2641.0,87450.0,31110.0,56340.0,204 1/2 Ells Ave
1,1,2019,3340.0,110610.0,31110.0,79500.0,305 1/2 Ells Ave
1,1,2019,1116.0,36960.0,31110.0,5850.0,307 1/2 Ells Ave
1,1,2019,3570.0,118230.0,10110.0,108120.0,510B Hickory St
0,0,0,0.0,0.0,0.0,0.0,803 1/2 Locust St
1,1,2019,2993.0,99120.0,38490.0,60630.0,207 1/2 William St
0,0,0,0.0,0.0,0.0,0.0,1105 Bloomington Rd
1,1,2019,3473.0,115020.0,17610.0,97410.0,310 1/2 Carson Ave
1,1,2019,4665.0,154470.0,56130.0,98340.0,1222 1/2 Charles St
1,1,2019,3437.0,113820.0,29370.0,84450.0,2011 1/2 William St
1,1,2019,3437.0,113820.0,29370.0,84450.0,2013 1/2 William St
1,1,2019,3437.0,113820.0,29370.0,84450.0,2012 1/2 William St
1,1,2019,4512.0,149430.0,29370.0,120060.0,2014 1/2 William St
0,0,0,0.0,0.0,0.0,0.0,2712 N Prospect Ave
0,0,0,0.0,0.0,0.0,0.0,2716 N Prospect Ave
1,1,2019,516.0,17100.0,1860.0,15240.0,3302 Mission Dr
1,1,2019,62.0,2070.0,2070.0,0.0,3402 Mission Dr
1,1,2019,118.0,3930.0,3930.0,0.0,3501 Fields South Dr
1,1,2019,25167.0,833340.0,71340.0,762000.0,520 N Neil St
0,0,0,0.0,0.0,0.0,0.0,607 E Armory Ave
0,0,0,0.0,0.0,0.0,0.0,2008 W Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,501 W Interstate Dr
