address_found,taxes_found,tax_year,tax_amount,market_value,land_value,building_value,address
1,1,2019,11801.0,386130.0,59040.0,327090.0,5107 Stonebridge Dr
1,1,2019,10488.0,343170.0,60900.0,282270.0,5109 Stonebridge Dr
1,1,2019,10266.0,335910.0,60270.0,275640.0,5111 Stonebridge Dr
1,1,2019,8969.0,293460.0,61620.0,231840.0,5113 Stonebridge Dr
1,1,2019,7871.0,257550.0,60060.0,197490.0,5117 Stonebridge Dr
1,1,2019,9726.0,318240.0,61110.0,257130.0,5103 Stonebridge Dr
1,1,2019,4546.0,191190.0,33570.0,157620.0,2306B Carlisle Dr
1,1,2019,3948.0,166050.0,33840.0,132210.0,2309 1/2 Carlisle Dr
0,0,0,0.0,0.0,0.0,0.0,1204 Hagan St
1,1,2019,50505.0,1672320.0,605160.0,1067160.0,805 Bloomington Rd
0,0,0,0.0,0.0,0.0,0.0,807 Bloomington Rd
0,0,0,0.0,0.0,0.0,0.0,809 Bloomington Rd
0,0,0,0.0,0.0,0.0,0.0,704 Edgebrook Dr
0,0,0,0.0,0.0,0.0,0.0,1702 Hagan St
0,0,0,0.0,0.0,0.0,0.0,115 Convenience Center Rd
0,0,0,0.0,0.0,0.0,0.0,2006 Moreland Blvd
0,0,0,0.0,0.0,0.0,0.0,2008 Moreland Blvd
1,1,2019,7857.0,260190.0,66570.0,193620.0,301 1/2 E University Ave
0,0,0,0.0,0.0,0.0,0.0,603 S Wright St
0,0,0,0.0,0.0,0.0,0.0,605 S Wright St
0,0,0,0.0,0.0,0.0,0.0,607 S Wright St
0,0,0,0.0,0.0,0.0,0.0,209 E Green St
0,0,0,0.0,0.0,0.0,0.0,3000 W Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,305 S Duncan Rd
0,0,0,0.0,0.0,0.0,0.0,201 S Duncan Rd
0,0,0,0.0,0.0,0.0,0.0,907 Newcastle Dr
1,1,2019,214280.0,7095150.0,635430.0,6459720.0,901 Berwick Dr
0,0,0,0.0,0.0,0.0,0.0,903 Berwick Dr
0,0,0,0.0,0.0,0.0,0.0,905 Berwick Dr
1,1,2019,4412.0,146100.0,35040.0,111060.0,508A Creve Coeur Dr
1,1,2019,17579.0,582090.0,89970.0,492120.0,1405 W Kirby Ave
0,0,0,0.0,0.0,0.0,0.0,1706 S Neil St
0,0,0,0.0,0.0,0.0,0.0,1708 S Neil St
