address_found,taxes_found,tax_year,tax_amount,market_value,land_value,building_value,address
0,0,0,0.0,0.0,0.0,0.0,514 N Neil St
1,1,2019,3590.0,135060.0,21300.0,113760.0,2611 Dale Dr
0,0,0,0.0,0.0,0.0,0.0,402 E Bradley Ave
1,1,2019,4710.0,155970.0,49980.0,105990.0,2802B Hundman Dr
1,1,2019,4710.0,155970.0,49980.0,105990.0,2802A Hundman Dr
0,0,0,0.0,0.0,0.0,0.0,2707 Hundman Dr
1,1,2019,9.0,330.0,330.0,0.0,2701 Hundman Dr
1,1,2019,7565.0,250500.0,45420.0,205080.0,1002 Parkland Ct
1,1,2019,1657.0,54870.0,54870.0,0.0,1205 S Neil St
1,1,2019,35012.0,1159320.0,463440.0,695880.0,1605 S Neil St
0,0,0,0.0,0.0,0.0,0.0,700 S Neil St
0,0,0,0.0,0.0,0.0,0.0,801 S Neil St
1,1,2019,2567.0,85020.0,6390.0,78630.0,925 N Fourth St
1,1,2019,2613.0,86550.0,4860.0,81690.0,301 E Beardsley Ave
0,0,0,0.0,0.0,0.0,0.0,826 Harvard St
1,1,2019,2234.0,73980.0,28380.0,45600.0,814 1/2 N Prospect Ave
1,1,2019,2234.0,73980.0,28380.0,45600.0,814 N Prospect Ave
1,1,2019,4349.0,144030.0,10860.0,133170.0,808 1/2 Maple St
1,1,2019,3895.0,129000.0,23730.0,105270.0,608 W Columbia Ave
1,1,2019,2553.0,84540.0,9540.0,75000.0,410 W Columbia Ave
1,1,2019,3693.0,122310.0,23730.0,98580.0,603 1/2 W Columbia Ave
1,1,2019,1680.0,55650.0,13620.0,42030.0,507 W Columbia Ave
1,1,2019,1809.0,59910.0,6390.0,53520.0,405 W Beardsley Ave
1,1,2019,1809.0,59910.0,6390.0,53520.0,405 1/2 W Beardsley Ave
1,1,2019,1557.0,51570.0,6390.0,45180.0,311 1/2 W Beardsley Ave
1,1,2019,1754.0,58110.0,6390.0,51720.0,310 W Eureka St
0,0,0,0.0,0.0,0.0,0.0,301 W Eureka St
0,0,0,0.0,0.0,0.0,0.0,303 W Eureka St
1,1,2019,2161.0,71580.0,3990.0,67590.0,806 1/2 N State St
1,1,2019,2161.0,71580.0,3990.0,67590.0,806 N State St
1,1,2019,2095.0,69390.0,6390.0,63000.0,306 1/2 Maple St
0,0,0,0.0,0.0,0.0,0.0,607 N Neil St
0,0,0,0.0,0.0,0.0,0.0,705 N Neil St
1,1,2019,1938.0,64200.0,9540.0,54660.0,506 N Elm St
1,1,2019,1966.0,65130.0,9540.0,55590.0,310 W Columbia Ave
1,1,2019,2333.0,77250.0,9810.0,67440.0,210 W Columbia Ave
1,1,2019,4490.0,148680.0,34890.0,113790.0,511 N Neil St
1,1,2019,1909.0,63210.0,40830.0,22380.0,421 N Neil St
1,1,2019,6716.0,222390.0,39240.0,183150.0,419 N Neil St
1,1,2019,1331.0,44100.0,3990.0,40110.0,1007 N Elm St
1,1,2019,1331.0,44100.0,3990.0,40110.0,1007 1/2 N Elm St
0,0,0,0.0,0.0,0.0,0.0,1208 Parkland Ct
1,1,2019,6739.0,223140.0,95010.0,128130.0,415 1/2 N Neil St
0,0,0,0.0,0.0,0.0,0.0,602 N Randolph St
1,1,2019,2910.0,96360.0,4050.0,92310.0,506 E Beardsley Ave
0,0,0,0.0,0.0,0.0,0.0,29 Main St
0,0,0,0.0,0.0,0.0,0.0,39 Main St
0,0,0,0.0,0.0,0.0,0.0,33 Main St
1,1,2019,4281.0,141780.0,41610.0,100170.0,41 Main St
1,1,2019,4281.0,141780.0,41610.0,100170.0,41 1/2 Main St
0,0,0,0.0,0.0,0.0,0.0,350 N Walnut St
1,0,0,0.0,0.0,0.0,0.0,346 N Neil St
0,0,0,0.0,0.0,0.0,0.0,340 N Neil St
1,1,2019,3414.0,113070.0,66780.0,46290.0,4912 W Windsor Rd
1,0,0,0.0,0.0,0.0,0.0,33 E Washington St
1,1,2019,2546.0,104610.0,6840.0,97770.0,112 W Church St
1,1,2019,2446.0,81000.0,11250.0,69750.0,320 Miller Ave
1,1,2019,2978.0,98610.0,18000.0,80610.0,1604 1/2 Kirk Ln
1,1,2019,2978.0,98610.0,18000.0,80610.0,1604 Kirk Ln
1,1,2019,27093.0,897090.0,220290.0,676800.0,1807 W Bradley Ave
0,0,0,0.0,0.0,0.0,0.0,330 N Neil St
0,0,0,0.0,0.0,0.0,0.0,328 N Neil St
1,1,2019,9369.0,310230.0,115500.0,194730.0,322 N Neil St
1,1,2019,7356.0,243600.0,106260.0,137340.0,324 N Neil St
1,1,2019,10385.0,343890.0,50790.0,293100.0,320 N Neil St
0,0,0,0.0,0.0,0.0,0.0,333 Fremont St
1,0,0,0.0,0.0,0.0,0.0,47 Main St
1,1,2019,13195.0,544830.0,139560.0,405270.0,1803 Cobblefield Ct
0,0,0,0.0,0.0,0.0,0.0,123 W Hill St
1,1,2019,4002.0,132540.0,129300.0,3240.0,401 N Neil St
1,0,0,0.0,0.0,0.0,0.0,302 N Neil St
1,0,0,0.0,0.0,0.0,0.0,45 E Washington St
1,0,0,0.0,0.0,0.0,0.0,201 N First St
0,0,0,0.0,0.0,0.0,0.0,43 E University Ave
0,0,0,0.0,0.0,0.0,0.0,118 S Walnut St
1,0,0,0.0,0.0,0.0,0.0,214 W Clark St
0,0,0,0.0,0.0,0.0,0.0,201 W Hill St
0,0,0,0.0,0.0,0.0,0.0,524 E Green St
1,1,2019,23827.0,788970.0,384330.0,404640.0,1010A S First St
1,0,0,0.0,0.0,0.0,0.0,1009 S Fourth St
0,0,0,0.0,0.0,0.0,0.0,914 S First St
1,1,2019,25634.0,848790.0,325260.0,523530.0,806A S First St
1,0,0,0.0,0.0,0.0,0.0,401 Stoughton St
1,0,0,0.0,0.0,0.0,0.0,405 E Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,204 N Neil St
0,0,0,0.0,0.0,0.0,0.0,202 N Neil St
