address_found,taxes_found,tax_year,tax_amount,market_value,land_value,building_value,address
1,1,2019,3424.0,113400.0,60840.0,52560.0,510 Hessel Blvd
1,1,2019,4231.0,140100.0,60840.0,79260.0,506 Hessel Blvd
1,1,2019,6893.0,228240.0,58350.0,169890.0,505 Haines Blvd
1,1,2019,9653.0,319650.0,122730.0,196920.0,501 Haines Blvd
1,1,2019,8837.0,292620.0,58020.0,234600.0,1203 S Elm Blvd
1,1,2019,3967.0,131370.0,59430.0,71940.0,502 Hessel Blvd
1,1,2019,8705.0,288240.0,64200.0,224040.0,1002 S Elm Blvd
1,1,2019,5247.0,173760.0,48330.0,125430.0,1008 S Elm Blvd
1,1,2019,5469.0,181110.0,64200.0,116910.0,1102 S Elm Blvd
1,1,2019,5316.0,176040.0,47670.0,128370.0,1106 S Elm Blvd
1,1,2019,4325.0,143220.0,48060.0,95160.0,1108 S Elm Blvd
1,1,2019,4597.0,152220.0,53220.0,99000.0,509 William St
1,1,2019,4477.0,148260.0,57030.0,91230.0,507 William St
1,1,2019,3480.0,115230.0,30930.0,84300.0,904 S Elm Blvd
1,1,2019,3086.0,102210.0,30930.0,71280.0,906 S Elm Blvd
1,1,2019,2795.0,92550.0,26370.0,66180.0,410 Stanage Ave
1,1,2019,2880.0,95370.0,25980.0,69390.0,408 Stanage Ave
1,1,2019,3437.0,113820.0,27540.0,86280.0,406 Stanage Ave
1,1,2019,3004.0,99480.0,27540.0,71940.0,404 Stanage Ave
1,1,2019,3363.0,111360.0,27540.0,83820.0,402 Stanage Ave
1,1,2019,2950.0,97710.0,23940.0,73770.0,905 S Prairie St
1,1,2019,3183.0,105420.0,23940.0,81480.0,907 S Prairie St
1,1,2019,3389.0,112230.0,26370.0,85860.0,413 Stanage Ave
1,1,2019,3109.0,102960.0,26370.0,76590.0,411 Stanage Ave
1,1,2019,3234.0,107100.0,26370.0,80730.0,409 Stanage Ave
1,1,2019,3123.0,103440.0,26370.0,77070.0,407 Stanage Ave
1,1,2019,3000.0,99360.0,23940.0,75420.0,405 Stanage Ave
1,1,2019,3293.0,109050.0,23550.0,85500.0,403 1/2 Stanage Ave
1,1,2019,3293.0,109050.0,23550.0,85500.0,403 Stanage Ave
1,1,2019,3871.0,128190.0,35070.0,93120.0,401 Stanage Ave
1,1,2019,3678.0,121800.0,26370.0,95430.0,414 Ells Ave
1,1,2019,1294.0,42870.0,26370.0,16500.0,412 Ells Ave
1,1,2019,2768.0,91680.0,26370.0,65310.0,410 Ells Ave
1,1,2019,3825.0,126660.0,26370.0,100290.0,408 Ells Ave
1,1,2019,3956.0,131010.0,26370.0,104640.0,404 Ells Ave
1,1,2019,3129.0,103620.0,23940.0,79680.0,1005 S Prairie St
1,1,2019,4778.0,158220.0,35070.0,123150.0,413 Ells Ave
1,1,2019,3318.0,109890.0,35070.0,74820.0,409 Ells Ave
1,1,2019,3748.0,124110.0,30810.0,93300.0,414 Avondale Ave
1,1,2019,4419.0,146340.0,27540.0,118800.0,412 Avondale Ave
1,1,2019,3658.0,121140.0,27540.0,93600.0,410 Avondale Ave
1,1,2019,4221.0,139770.0,27540.0,112230.0,408 Avondale Ave
1,1,2019,2073.0,68670.0,27540.0,41130.0,406 Avondale Ave
1,1,2019,4104.0,135900.0,27540.0,108360.0,404 Avondale Ave
1,1,2019,3355.0,111090.0,23940.0,87150.0,1101 S Prairie St
1,1,2019,2439.0,80790.0,23940.0,56850.0,1103 S Prairie St
1,1,2019,2936.0,97230.0,23940.0,73290.0,1107 S Prairie St
1,1,2019,3268.0,108240.0,23940.0,84300.0,1109 S Prairie St
1,1,2019,4243.0,140520.0,52710.0,87810.0,407 Ells Ave
1,1,2019,5256.0,174060.0,52710.0,121350.0,403 Ells Ave
1,1,2019,4167.0,138000.0,66330.0,71670.0,1202 S Elm Blvd
1,1,2019,5100.0,168900.0,31110.0,137790.0,415 Avondale Ave
1,1,2019,6394.0,211740.0,35070.0,176670.0,413 Avondale Ave
1,1,2019,3762.0,124590.0,35070.0,89520.0,405 Avondale Ave
1,1,2019,614.0,20340.0,20040.0,300.0,403 Avondale Ave
1,1,2019,2804.0,92850.0,26940.0,65910.0,315 Avondale Ave
1,1,2019,2236.0,74070.0,26370.0,47700.0,313 Avondale Ave
1,1,2019,5590.0,185100.0,62520.0,122580.0,1206 S Elm Blvd
1,1,2019,3989.0,132090.0,62520.0,69570.0,1208 S Elm Blvd
1,1,2019,4341.0,143760.0,39600.0,104160.0,414 Hessel Blvd
1,1,2019,4455.0,147540.0,39600.0,107940.0,412 Hessel Blvd
1,1,2019,4037.0,133680.0,39600.0,94080.0,410 Hessel Blvd
1,1,2019,3494.0,115710.0,39600.0,76110.0,408 Hessel Blvd
1,1,2019,2281.0,75540.0,39600.0,35940.0,406 Hessel Blvd
1,1,2019,2281.0,75540.0,39600.0,35940.0,404 Hessel Blvd
1,1,2019,4201.0,139110.0,39600.0,99510.0,402 Hessel Blvd
1,1,2019,2083.0,69000.0,39600.0,29400.0,400 Hessel Blvd
1,1,2019,6344.0,210090.0,60420.0,149670.0,1302 S Elm Blvd
1,1,2019,4685.0,155130.0,60420.0,94710.0,1304 S Elm Blvd
1,1,2019,3731.0,123540.0,39600.0,83940.0,415 Hessel Blvd
1,1,2019,4201.0,139110.0,39600.0,99510.0,413 Hessel Blvd
1,1,2019,5668.0,187680.0,39600.0,148080.0,411 Hessel Blvd
1,1,2019,3186.0,105510.0,39600.0,65910.0,409 Hessel Blvd
1,1,2019,3958.0,131070.0,39600.0,91470.0,403 Hessel Blvd
1,1,2019,9111.0,301710.0,91230.0,210480.0,1310 Grandview Dr
1,1,2019,5641.0,186810.0,78390.0,108420.0,1312 Grandview Dr
1,1,2019,5832.0,193110.0,63120.0,129990.0,410 Buena Vista Dr
1,1,2019,5287.0,175080.0,63120.0,111960.0,408 Buena Vista Dr
1,1,2019,5573.0,184560.0,63120.0,121440.0,406 Buena Vista Dr
1,1,2019,6494.0,215040.0,60900.0,154140.0,404 Buena Vista Dr
1,1,2019,7424.0,245820.0,62310.0,183510.0,805 La Sell Dr
1,1,2019,5157.0,170760.0,62310.0,108450.0,803 La Sell Dr
1,1,2019,5605.0,185610.0,62310.0,123300.0,801 La Sell Dr
1,1,2019,11043.0,365670.0,62310.0,303360.0,711 La Sell Dr
1,1,2019,7250.0,240060.0,62310.0,177750.0,709 La Sell Dr
1,1,2019,5897.0,195270.0,62310.0,132960.0,707 La Sell Dr
1,1,2019,5601.0,185490.0,62310.0,123180.0,705 La Sell Dr
1,1,2019,7935.0,262740.0,62310.0,200430.0,703 La Sell Dr
1,1,2019,7308.0,242010.0,69810.0,172200.0,701 La Sell Dr
1,1,2019,5474.0,181260.0,47820.0,133440.0,505 William St
1,1,2019,4173.0,138180.0,48930.0,89250.0,806 S Lynn St
1,1,2019,6614.0,219030.0,56400.0,162630.0,808 S Lynn St
1,1,2019,5190.0,171870.0,57030.0,114840.0,510 Charles St
1,1,2019,3900.0,129150.0,55350.0,73800.0,508 Charles St
1,1,2019,4128.0,136710.0,52260.0,84450.0,801 S Elm Blvd
1,1,2019,7000.0,231810.0,52260.0,179550.0,803 S Elm Blvd
1,1,2019,5288.0,175110.0,48270.0,126840.0,807 S Elm Blvd
1,1,2019,5037.0,166800.0,48270.0,118530.0,809 S Elm Blvd
1,1,2019,5641.0,186810.0,69360.0,117450.0,802 S Elm Blvd
1,1,2019,5556.0,183990.0,74700.0,109290.0,804 S Elm Blvd
