address_found,taxes_found,tax_year,tax_amount,market_value,land_value,building_value,address
0,0,0,0.0,0.0,0.0,0.0,209 Locust St
0,0,0,0.0,0.0,0.0,0.0,207 Locust St
1,1,2019,2597.0,86010.0,21690.0,64320.0,219 Locust St
1,1,2019,2597.0,86010.0,21690.0,64320.0,219 1/2 Locust St
0,0,0,0.0,0.0,0.0,0.0,71 Chester St
0,0,0,0.0,0.0,0.0,0.0,73 Chester St
0,0,0,0.0,0.0,0.0,0.0,71 1/2 Chester St
0,0,0,0.0,0.0,0.0,0.0,403 Water St
0,0,0,0.0,0.0,0.0,0.0,401 Water St
1,1,2019,1339.0,44340.0,44340.0,0.0,40 1/2 E Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,22 E Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,24 E Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,30 E Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,32 E Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,34 E Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,28 E Springfield Ave
0,0,0,0.0,0.0,0.0,0.0,26 E Springfield Ave
1,1,2019,4036.0,133650.0,27120.0,106530.0,71 E University Ave
0,0,0,0.0,0.0,0.0,0.0,73 E University Ave
0,0,0,0.0,0.0,0.0,0.0,77 E University Ave
1,1,2019,8547.0,283020.0,81900.0,201120.0,11 Logan St
1,1,2019,8547.0,283020.0,81900.0,201120.0,11 1/2 Logan St
0,0,0,0.0,0.0,0.0,0.0,111 S Walnut St
1,1,2019,3327.0,110190.0,35100.0,75090.0,109 S Walnut St
0,0,0,0.0,0.0,0.0,0.0,1 E University Ave
1,1,2019,2931.0,97050.0,23850.0,73200.0,9 E University Ave
1,1,2019,2931.0,97050.0,23850.0,73200.0,9 1/2 E University Ave
1,1,2019,5794.0,191880.0,21450.0,170430.0,15 E University Ave
1,1,2019,3243.0,107400.0,26700.0,80700.0,11 E University Ave
1,1,2019,3243.0,107400.0,26700.0,80700.0,11 1/2 E University Ave
1,1,2019,5794.0,191880.0,21450.0,170430.0,15 1/2 E University Ave
0,0,0,0.0,0.0,0.0,0.0,41 E University Ave
