address_found,taxes_found,tax_year,tax_amount,market_value,land_value,building_value,address
1,1,2019,4208.0,139350.0,27990.0,111360.0,708 W Washington St
1,1,2019,3739.0,123810.0,27990.0,95820.0,706 W Washington St
1,1,2019,4337.0,143610.0,23610.0,120000.0,704 W Washington St
1,1,2019,5661.0,187470.0,25080.0,162390.0,702 W Washington St
1,1,2019,3253.0,107730.0,12450.0,95280.0,817 W Washington St
1,1,2019,3470.0,114900.0,12450.0,102450.0,813 W Washington St
1,1,2019,3344.0,110730.0,14910.0,95820.0,809 W Washington St
1,1,2019,3099.0,102630.0,15150.0,87480.0,807 W Washington St
1,1,2019,5266.0,174390.0,12450.0,161940.0,805 W Washington St
1,1,2019,4544.0,150480.0,8700.0,141780.0,803 W Washington St
1,1,2019,5697.0,188640.0,33360.0,155280.0,801 W Washington St
1,1,2019,5037.0,166800.0,11760.0,155040.0,721 W Washington St
1,1,2019,4311.0,142770.0,10770.0,132000.0,715 W Washington St
1,1,2019,3214.0,106440.0,11550.0,94890.0,705 W Washington St
1,1,2019,5027.0,166470.0,27510.0,138960.0,601 W Washington St
1,1,2019,4045.0,133950.0,24360.0,109590.0,819 W Washington St
1,1,2019,3442.0,114000.0,18390.0,95610.0,815 W Washington St
1,1,2019,6005.0,198840.0,30630.0,168210.0,717 W Washington St
1,1,2019,6749.0,223470.0,30630.0,192840.0,719 W Washington St
1,1,2019,7645.0,253170.0,62460.0,190710.0,406 N Prospect Ave
1,1,2019,3031.0,100380.0,24600.0,75780.0,821 W Washington St
1,1,2019,3201.0,105990.0,4860.0,101130.0,706 Harris Ave
1,1,2019,2907.0,96270.0,4860.0,91410.0,704 Harris Ave
1,1,2019,1645.0,54480.0,17730.0,36750.0,608 W Vine St
1,1,2019,2452.0,81210.0,16140.0,65070.0,606 W Vine St
1,1,2019,2453.0,81240.0,17310.0,63930.0,604 W Vine St
1,1,2019,3851.0,127530.0,18630.0,108900.0,602 W Vine St
1,1,2019,2665.0,88260.0,17910.0,70350.0,609 W Vine St
1,1,2019,2153.0,71310.0,8040.0,63270.0,605 W Vine St
1,1,2019,2214.0,73320.0,15870.0,57450.0,603 W Vine St
1,1,2019,3454.0,114390.0,15720.0,98670.0,605 N Lynn St
1,1,2019,2874.0,95190.0,12990.0,82200.0,610 1/2 W Columbia Ave
1,1,2019,2874.0,95190.0,12990.0,82200.0,610 W Columbia Ave
1,1,2019,3326.0,110130.0,11670.0,98460.0,606 1/2 W Columbia Ave
1,1,2019,3326.0,110130.0,11670.0,98460.0,606 W Columbia Ave
1,1,2019,4327.0,143280.0,24420.0,118860.0,604 W Columbia Ave
1,1,2019,4821.0,159660.0,26310.0,133350.0,609 W Columbia Ave
1,1,2019,3982.0,131850.0,23730.0,108120.0,607 W Columbia Ave
1,1,2019,3693.0,122310.0,23730.0,98580.0,603 W Columbia Ave
1,1,2019,1523.0,50460.0,8040.0,42420.0,507 N Lynn St
1,1,2019,4480.0,148350.0,29430.0,118920.0,610 W Washington St
1,1,2019,6506.0,215430.0,29430.0,186000.0,608 W Washington St
1,1,2019,2041.0,67590.0,29430.0,38160.0,606 W Washington St
1,1,2019,5537.0,183360.0,31050.0,152310.0,604 W Washington St
1,1,2019,6027.0,199590.0,29010.0,170580.0,602 W Washington St
1,1,2019,1962.0,64980.0,8130.0,56850.0,709 N Elm St
1,1,2019,1162.0,38490.0,6390.0,32100.0,707 N Elm St
1,1,2019,1949.0,64560.0,6390.0,58170.0,705 N Elm St
1,1,2019,1554.0,51480.0,6390.0,45090.0,512 W Vine St
1,1,2019,1514.0,50160.0,6390.0,43770.0,510 W Vine St
1,1,2019,1293.0,42840.0,6390.0,36450.0,508 W Vine St
1,1,2019,1262.0,41790.0,6390.0,35400.0,506 W Vine St
1,1,2019,1339.0,44340.0,6390.0,37950.0,504 W Vine St
1,1,2019,1134.0,37560.0,6390.0,31170.0,502 W Vine St
1,1,2019,1224.0,40560.0,5700.0,34860.0,606 N Lynn St
1,1,2019,1415.0,46860.0,7260.0,39600.0,604 N Lynn St
1,1,2019,2422.0,80220.0,7260.0,72960.0,512 W Columbia Ave
1,1,2019,1285.0,42570.0,5700.0,36870.0,509 1/2 W Vine St
1,1,2019,1285.0,42570.0,5700.0,36870.0,509 W Vine St
1,1,2019,1502.0,49740.0,5700.0,44040.0,505 W Vine St
1,1,2019,1554.0,51480.0,8040.0,43440.0,607 N Elm St
1,1,2019,3492.0,115650.0,9540.0,106110.0,508 W Columbia Ave
1,1,2019,2750.0,91080.0,9540.0,81540.0,506 W Columbia Ave
1,1,2019,1499.0,49650.0,9540.0,40110.0,504 W Columbia Ave
